Date,Customer_name,Transaction_id,Amount_Sent,Receiver_type,Receiver_location
29-09-24,Birgit Manilow,01JB4F8X1BYGHGZHQCF86ZRX68,350501,,China
29-09-24,Ginger Robinet,01JB4F8X3FEH99VRCTJ9PV35GG,914498,Person,Indonesia
29-09-24,Benedicto Molloy,01JB4F8XAHWXJJT1TDWTPV5383,331736,NGO,Afghanistan
29-09-24,Brandea Basset,01JB4F8XC4W40BV88SBDP2AGD4,850169,Person,
29-09-24,Izzy Baise,01JB4F8XH58B5VDECSMFHEGJ6X,386653,Merchant,China
28-09-24,Cad Gamil,01JB4F8X3PN48E5Y2SFZ8KZAZT,172755,NGO,Indonesia
28-09-24,Claudina Lemmon,01JB4F8XA4TENQZPHB5Q0M3Q21,938350,,Indonesia
28-09-24,Lin Crowcroft,01JB4F8XBC6R2PVH1V92DDHA40,850896,Person,Philippines
27-09-24,Karlens Ingram,01JB4F8X4FB8AFWNFP32KAS8CF,787352,Merchant,China
27-09-24,Darcy Murfett,01JB4F8X4ZQ7M8NB9QNWMDTDKA,359792,Person,Indonesia
27-09-24,Dyanne Redgewell,01JB4F8XGFCVVYHXREE7SNQSE5,237374,,
27-09-24,Elianore Nickerson,01JB4F8XH7BZE4N81N4N0NRB6S,508466,Merchant,China
26-09-24,Darbie Tweed,01JB4F8WYCWJ9FJ1RDWFVGZNK4,922053,NGO,China
26-09-24,Miguel Penwright,01JB4F8XHKFDBY83PYVVCHZEK8,629551,Merchant,
25-09-24,Hubert Ulyet,01JB4F8XAJASPGXJWV3TNBDSD0,464817,,Australia
25-09-24,Allyn Oggers,01JB4F8XETTBMS6GN45YH8FKWZ,357416,Merchant,Ireland
23-09-24,Pammie Gardner,01JB4F8XARB5N3TYNHPG19KBY5,513447,NGO,Greece
23-09-24,Batsheva Schlagh,01JB4F8XF91HZ1WJR42NEW8MWB,993154,Person,China
23-09-24,Batsheva Schlagh,01JB4F8X3EHPGQQH644H073KF3,111306,NGO,China
23-09-24,Batsheva Schlagh,01JB4F8X5CKJEYRPGA292J3P3W,204607,Merchant,France
23-09-24,Batsheva Schlagh,01JB4F8XD09DGX0RPCQCBDF7PG,294219,Merchant,Indonesia
23-09-24,Batsheva Schlagh,01JB4F8XDVXHKJJHPHX72DH5NV,665350,NGO,Ukraine
23-09-24,Batsheva Schlagh,01JB4F8XH2ARBH9J5SGNEJF52W,829503,Person,China
23-09-24,Batsheva Schlagh,01JB4F8XJ02JBJKDHMSBHVA4B5,519960,Merchant,China
22-09-24,Mireielle Whalebelly,01JB4F8XDCFGQZF4V29CNBWK4H,293061,Merchant,Lithuania
20-09-24,Fanni Peaden,01JB4F8XEDW3434HPQD9Y27ECZ,516397,Person,Poland
19-09-24,Raimondo Paylie,01JB4F8X8WKDS4FV1DG6QPQTK6,265583,Person,Poland
18-09-24,Tandi Emmet,01JB4F8WZ5SCEQSHRKA6W8X637,162285,NGO,Serbia
18-09-24,Car Blessed,01JB4F8X29ANQ7AE44BZPYZ78F,482567,Merchant,Portugal
18-09-24,Valera Aimer,01JB4F8X2QNM3B5FXFSPY44WWZ,63643,Merchant,Japan
17-09-24,Gage Oakland,01JB4F8X6KEAFXNEM7NGTXX3G1,96662,Merchant,Colombia
17-09-24,Andres Snawdon,01JB4F8X76DTRJCF0PS9TPFSJY,511712,Merchant,Madagascar
17-09-24,Elsa Bashford,01JB4F8X7B83WX5N8A79XXAHB3,281058,Merchant,China
17-09-24,Caria Kraft,01JB4F8XDT4BKCG5Z7XC8PGCXV,64104,,China
16-09-24,Boniface Bwye,01JB4F8X0TJ4B7KKXSR3HBNE4B,38751,Person,United States
16-09-24,Kissie Goane,01JB4F8X711WB8MVBWNHVH7YJB,899663,,Kosovo
16-09-24,Ashlee Maunders,01JB4F8X97K6X5KJ3PT03W4VZH,960871,Person,Afghanistan
16-09-24,Carline Garmston,01JB4F8XE7XMR4Y6T48HF86B64,80108,Person,Philippines
15-09-24,Marne Cuffley,01JB4F8XAS3QZ6EWQRCTDRZCM9,828469,Merchant,Brazil
14-09-24,Lutero Stare,01JB4F8WYRTZJ4T91VQYCK170H,761386,Merchant,Indonesia
14-09-24,Karleen Silveston,01JB4F8WYXFZEK396E7KW24Z27,144482,NGO,China
14-09-24,Mick Ruselin,01JB4F8XM4KS396X99BSGSQM5R,838719,NGO,China
13-09-24,Melinde McGaugey,01JB4F8X1YB4N7Y4Y2J1NCAE8X,475186,Person,Poland
13-09-24,Kendell Feaveer,01JB4F8X94RZ7R0ADADVNWNP1R,317218,Merchant,China
12-09-24,Gretta Trollope,01JB4F8X2Z25XX3B3B4BMNC28V,802794,Person,Russia
12-09-24,Sarette Claessens,01JB4F8X8ZTW53BN44YT0ZQ4MX,93962,Merchant,Colombia
12-09-24,Oswell Morriss,01JB4F8XD9EQB3DQ3WTT6VDJ9P,72768,Person,Uzbekistan
12-09-24,Meara Wingar,01JB4F8XFZPPSW9H0PJPSA7YRV,609330,,Thailand
12-09-24,Jean Mattersey,01JB4F8XHXH4DGCDZ4P96R3MWW,64661,,Saudi Arabia
11-09-24,Quincy Brolechan,01JB4F8X7Q321S1SMAY9JC0Z6Q,950666,,Gabon
11-09-24,Tera Rowswell,01JB4F8XESKY83H3DNMD2K6FQE,317915,Merchant,Peru
11-09-24,Hanni Bellfield,01JB4F8XJ5CH1NZMS6YQDAWW1T,397705,NGO,
10-09-24,Allys Vasic,01JB4F8WZ5D16GE0544B7VG3FS,411696,NGO,Philippines
10-09-24,Kelley De Metz,01JB4F8X9RWNEMKN6D86ZKQGH7,732812,Merchant,Brazil
10-09-24,Penelope Antic,01JB4F8XCDF8DXFH58A5PE26T4,611227,NGO,China
10-09-24,Eliot Aronovitz,01JB4F8XGT876GRCCCW6F4RDSS,549102,,Australia
09-09-24,Zorah Osboldstone,01JB4F8WZ2A1HR71TYCFW6H1MM,595277,NGO,Russia
09-09-24,Mercedes Bonefant,01JB4F8X757EW2SH05Y4DSZQGS,71734,,China
09-09-24,Lynn Needham,01JB4F8XD4QWQYC9V6RZ312QZB,136855,,Guam
08-09-24,Allan Truett,01JB4F8X451HCYW67S3HEDG08A,183755,NGO,Philippines
08-09-24,Iver Gothard,01JB4F8X984T7BTCKNJHSECSSS,433272,Merchant,China
08-09-24,Arny Thomkins,01JB4F8X9QTMBTG0VJT7E41N4Y,601038,NGO,Russia
08-09-24,Colan Raiston,01JB4F8XA9QX1VPSER87V8MM59,668732,Person,Indonesia
07-09-24,Trstram Syder,01JB4F8X4WJZXADF2FGCC9EMMZ,648811,Person,China
06-09-24,Penn Reddan,01JB4F8X0J2FTM66WF9THMTVG7,248129,Merchant,Vietnam
06-09-24,Wynn MacCaull,01JB4F8X0Z8EW5D2DBNVX02PNQ,336699,,Senegal
06-09-24,Anderea Redit,01JB4F8X7PQHT381WS2FWDJFS5,9878976,Person,Brazil
06-09-24,Kevon Newsham,01JB4F8XE1W3GMMAH4W4QCJ4TD,71780,NGO,Ireland
05-09-24,Sybille Mauro,01JB4F8XEBHAHSQW4CBZB9D0NZ,743553,Merchant,Costa Rica
04-09-24,George Peak,01JB4F8X2QETMKJB3BXTMQ34SN,480769,,China
04-09-24,Pia De Bell,01JB4F8XG9M2VTSH2D2E4A1M6M,643505,Merchant,Indonesia
03-09-24,Katleen Iorio,01JB4F8XE450HYQE81GGZDQNT9,7823,Person,Sweden
03-09-24,Jennie Wycliff,01JB4F8XEK6B1GGAMHJ88XAPJ7,189621,NGO,Canada
02-09-24,Aveline Efford,01JB4F8XB7EFBF98D4Z9Z2DTZ1,893331,NGO,Chad
02-09-24,Saunderson Jordon,01JB4F8XBPR6Q0VYQF9N66W6S4,748371,NGO,Indonesia
01-09-24,Damian Dyton,01JB4F8XC5RZ4RAE71N6MBX4AJ,816489,Person,Russia
31-08-24,Shandy Dunmore,01JB4F8X0ZZ3C1WE59PZVP444H,664347,,Argentina
31-08-24,Hewie Deakan,01JB4F8XH6VEDDS3E8A1604AG2,85340,NGO,Peru
30-08-24,Nikola McOrkil,01JB4F8WZ962KSZ1ZNFRQ7S8EH,712495,Person,Indonesia
30-08-24,Joni Mille,01JB4F8XAZ19PH2DQ3QF73V053,155586,Merchant,Indonesia
30-08-24,Austine Britten,01JB4F8XDJZ7G9TYA8QG0K36FK,486762,,China
30-08-24,Kelwin Raithmill,01JB4F8XFDCTSPS6878SPXEW4Y,120400,Person,Russia
30-08-24,Guy Lohoar,01JB4F8XHW7SEMMVQDXA5WVZ7Z,300841,,China
29-08-24,Shannan Alvarado,01JB4F8X37FCHTKNJ6A0M4812M,347609,Person,Poland
29-08-24,Loralyn Gurko,01JB4F8X7TXJPJ9SKNA7K0DPEA,109822,Person,Portugal
29-08-24,Verine Pedro,01JB4F8XACVE0VSHEZKFF6SFY8,299888,,Bulgaria
28-08-24,Julio Mosedall,01JB4F8XDR2NKD4VF8DC3BR9SS,311922,Person,Brazil
27-08-24,Giselbert Lackmann,01JB4F8X8QGQ8DDGMJQGSQA26B,607750,NGO,Czech Republic
27-08-24,Carlina Stovin,01JB4F8XDZ2H9J23AJT5B0YKM8,622682,Person,Sweden
27-08-24,Bea Hebron,01JB4F8XFA7F5H94A8CP3EQZN8,713252,,Indonesia
26-08-24,Ferne Geerling,01JB4F8X31T7HZVT3PE28D5GFE,925367,NGO,Philippines
26-08-24,Stan Gitsham,01JB4F8X827Z5JYHASQRKTHW34,880242,,Belarus
